"abundance","temperature","taxa"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
"7996.41908751487","1","GAMM"
"8345.87521896032","1","GAMM"
"8299.56697865484","1","GAMM"
"8314.4509722998","1","GAMM"
"8558.52220810212","1","GAMM"
"8413.96044988964","1","GAMM"
"8497.63980891415","1","GAMM"
"8330.68793032627","1","GAMM"
"8409.42707682215","1","GAMM"
"8312.18470431137","1","GAMM"
"8332.89772624107","1","GAMM"
"8503.74210572353","1","GAMM"
"8487.44825168139","1","GAMM"
"8536.19758117536","1","GAMM"
"8586.2213424342","1","GAMM"
"8528.20068823769","1","GAMM"
"8615.54898682575","1","GAMM"
"8654.68975538382","1","GAMM"
"8666.05318075154","1","GAMM"
"8545.4532549649","1","GAMM"
"8539.66179164642","1","GAMM"
"8301.93216016424","1","GAMM"
"8079.91403704694","1","GAMM"
"8079.29678167132","1","GAMM"
"7794.71026213022","1","GAMM"
"7919.55969492841","1","GAMM"
